metro,state,LAT,LON,BOV_1995,BOV_1996,BOV_1997,BOV_1998,BOV_1999,BOV_2000,BOV_2001,BOV_2002,BOV_2003,BOV_2004,BOV_2005,BOV_2006,BOV_2007,BOV_2008,BOV_2009,BOV_2010,BOV_2011,BOV_2012,BOV_2013,BOV_2014,BOV_2015,EQ_1995,EQ_1996,EQ_1997,EQ_1998,EQ_1999,EQ_2000,EQ_2001,EQ_2002,EQ_2003,EQ_2004,EQ_2005,EQ_2006,EQ_2007,EQ_2008,EQ_2009,EQ_2010,EQ_2011,EQ_2012,EQ_2013,EQ_2014,EQ_2015,ACC_1995,ACC_1996,ACC_1997,ACC_1998,ACC_1999,ACC_2000,ACC_2001,ACC_2002,ACC_2003,ACC_2004,ACC_2005,ACC_2006,ACC_2007,ACC_2008,ACC_2009,ACC_2010,ACC_2011,ACC_2012,ACC_2013,ACC_2014,ACC_2015,OV_1995,OV_1996,OV_1997,OV_1998,OV_1999,OV_2000,OV_2001,OV_2002,OV_2003,OV_2004,OV_2005,OV_2006,OV_2007,OV_2008,OV_2009,OV_2010,OV_2011,OV_2012,OV_2013,OV_2014,OV_2015,CAP_1995,CAP_1996,CAP_1997,CAP_1998,CAP_1999,CAP_2000,CAP_2001,CAP_2002,CAP_2003,CAP_2004,CAP_2005,CAP_2006,CAP_2007,CAP_2008,CAP_2009,CAP_2010,CAP_2011,CAP_2012,CAP_2013,CAP_2014,CAP_2015,AV_1995,AV_1996,AV_1997,AV_1998,AV_1999,AV_2000,AV_2001,AV_2002,AV_2003,AV_2004,AV_2005,AV_2006,AV_2007,AV_2008,AV_2009,AV_2010,AV_2011,AV_2012,AV_2013,AV_2014,AV_2015,POR_1995,POR_1996,POR_1997,POR_1998,POR_1999,POR_2000,POR_2001,POR_2002,POR_2003,POR_2004,POR_2005,POR_2006,POR_2007,POR_2008,POR_2009,POR_2010,POR_2011,POR_2012,POR_2013,POR_2014,POR_2015,FEL_1995,FEL_1996,FEL_1997,FEL_1998,FEL_1999,FEL_2000,FEL_2001,FEL_2002,FEL_2003,FEL_2004,FEL_2005,FEL_2006,FEL_2007,FEL_2008,FEL_2009,FEL_2010,FEL_2011,FEL_2012,FEL_2013,FEL_2014,FEL_2015,CAN_1995,CAN_1996,CAN_1997,CAN_1998,CAN_1999,CAN_2000,CAN_2001,CAN_2002,CAN_2003,CAN_2004,CAN_2005,CAN_2006,CAN_2007,CAN_2008,CAN_2009,CAN_2010,CAN_2011,CAN_2012,CAN_2013,CAN_2014,CAN_2015,WIL_2009,WIL_2010,WIL_2011,WIL_2012,WIL_2013,WIL_2014,WIL_2015,MIS_1995,MIS_1996,MIS_1997,MIS_1998,MIS_1999,MIS_2000,MIS_2001,MIS_2002,MIS_2003,MIS_2004,MIS_2005,MIS_2006,MIS_2007,MIS_2008,MIS_2009,MIS_2010,MIS_2011,MIS_2012,MIS_2013,MIS_2014,MIS_2015,TOT_1995,TOT_1996,TOT_1997,TOT_1998,TOT_1999,TOT_2000,TOT_2001,TOT_2002,TOT_2003,TOT_2004,TOT_2005,TOT_2006,TOT_2007,TOT_2008,TOT_2009,TOT_2010,TOT_2011,TOT_2012,TOT_2013,TOT_2014,TOT_2015
Adair,KY,37.076403,-85.313622,107,79,46,23,34,35,19,17,25,3,5,2,1,2,14,48,514,121,418,306,253,321,342,277,2,67,226,108,115,78,46,31,36,5,6,1377,2303,1664,2375,712,544,459,462,479,356,27,111,282,144,145,113,62,45,50,22,30,310,345,290,467,640,570,498,,,1,,2,1,2,,,,,,,,,,,,1,1,,,,10,,,6,6,1,,,,,,,1,,9,,,1,5,,2,1,,1,4,1,,,,,,,1,2,,,,,,,1,2,,,,,,,,,,,,,,,,,,,,4,9,4,,,2,,2,7,2,1,2,2,8,3,4,2,7,4,13,3,27,46,17,2,6,8,8,9,3,11,7,8,14,11,10,11,15,34,15,29,22,,2,1,3,,,,3,,1,,1,,,1,,,1,2,,2,19,2,1,4,5,4,2,463,480,357,27,111,282,144,145,113,62,45,50,22,30,1427,2370,2206,2544,1155,898,744
Allen,KY,36.765047,-86.21585,45,20,0,6,8,0,3,0,0,1,0,0,0,7,0,0,0,0,27,0,0,13,11,24,19,5,7,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,88,74,35,25,16,13,4,3,3,1,2,0,0,7,0,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,46,11,,3,9,,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93,77,35,25,16,16,4,3,3,1,2,,,7,,,,,27,,
Anderson,KY,37.998648,-84.981754,62,70,47,37,50,46,44,36,38,27,35,22,36,28,39,44,55,102,26,49,66,197,239,203,256,345,344,350,354,303,280,344,239,211,205,239,217,264,252,129,72,69,396,431,398,458,540,501,496,477,421,386,476,342,335,340,392,360,402,437,270,239,238,1,,,1,3,2,,,2,,4,4,1,,,1,1,,3,1,1,1,,,2,3,1,6,10,16,11,19,12,21,23,20,7,6,17,15,17,13,1,,1,4,5,7,,5,2,,2,1,1,2,3,1,,1,,2,4,2,,,1,1,1,1,,,,,,1,,,,,,,,,26,19,38,31,23,17,20,12,16,10,15,20,15,6,11,23,20,20,11,14,14,99,107,100,125,105,83,71,57,41,57,57,42,47,77,82,84,86,112,79,99,91,2,,4,1,1,,1,8,1,10,1,5,1,4,3,3,1,,1,1,,4,3,,,4,3,1,397,436,399,458,540,502,496,477,421,386,476,342,335,341,400,380,436,505,268,257,260
Ballard,KY,37.035987,-89.017933,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,22,6,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,2,22,25,56,18,8,5,7,3,1,2,1,0,0,0,0,0,0,9,1,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,24,43,13,8,5,8,3,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,29,65,19,8,5,8,3,1,2,1,,,,,,,2,,,2
Barren,KY,36.967684,-85.848624,14,32,33,25,15,30,93,61,50,32,43,22,17,56,506,284,0,0,0,1,0,30,138,95,90,48,53,42,99,31,27,17,15,23,41,22,3,0,0,0,0,0,47,171,135,117,64,84,135,160,81,61,63,70,78,189,87,5,0,4,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,1,,1,,,1,4,,,,,,,1,,,,,,,,,,,,,2,,,,,,,,1,,6,1,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,2,,,3,1,,1,,,,,,,,,,,,,1,1,1,1,,,,2,1,,2,34,35,88,11,,,,,,,47,171,137,117,64,84,135,162,83,61,63,71,78,189,543,288,,,,1,1
Bath,KY,38.106816,-83.719914,55,59,54,58,62,43,46,32,42,37,41,39,28,48,34,151,75,24,50,111,134,398,557,527,629,621,692,683,872,1004,1104,1005,1069,987,927,718,725,699,706,567,20,16,479,643,613,714,717,762,754,942,1082,1181,1071,1141,1047,995,765,800,759,782,644,83,86,1,,1,2,3,2,1,3,,2,3,,,1,1,1,2,1,,2,2,1,,,5,1,9,7,8,7,6,2,2,7,,,13,3,10,,2,2,1,,,,1,,3,,4,1,2,2,,,,3,,,,,,1,3,1,,1,,2,,,2,,,1,1,,,,,,,2,1,1,4,2,5,3,1,2,1,2,,4,3,1,1,6,3,18,10,4,2,16,22,25,17,22,12,11,23,22,26,17,24,21,14,11,27,28,39,74,16,22,,3,,1,1,,,5,1,1,3,1,1,,2,2,1,1,1,,3,4,1,1,,,1,,479,643,613,716,717,762,754,942,1082,1181,1071,1141,1047,995,769,930,811,799,702,156,180
Bell,KY,36.741122,-83.634843,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,7,6,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,42,43,28,26,21,21,17,22,19,2,4,0,0,1,0,2,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,2,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,4,3,1,2,3,1,,,1,,,,,,,,,,,,24,32,37,26,22,18,19,16,19,18,1,3,,,,,2,,1,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,34,42,44,28,26,21,21,17,22,19,2,4,,,,,2,,1,,
Boone,KY,38.994057,-84.731556,16,13,18,10,4,4,13,19,8,20,7,5,11,6,1,0,0,0,0,0,9,773,1244,1370,1308,662,657,587,769,750,747,821,832,847,772,460,386,665,415,351,319,356,976,1488,1615,1562,883,849,763,978,934,974,959,1009,1002,922,589,552,724,527,487,457,440,1,,,,1,,,,2,,1,1,2,1,1,,,,1,,,21,25,20,13,5,6,5,3,3,12,9,4,,2,2,30,2,,,1,,6,6,5,6,6,,10,1,4,1,2,,,1,3,,,,,,,13,11,6,14,29,43,13,18,20,35,1,,,,,,,,,,,25,53,34,35,39,20,21,39,17,22,17,26,20,19,14,23,30,20,32,28,15,121,134,151,165,135,117,112,123,129,135,104,142,120,121,106,144,127,94,107,105,70,,,,1,,,,7,8,16,11,2,4,2,6,1,3,1,2,2,,2,3,,2,2,,1,983,1494,1620,1562,883,851,763,978,934,975,963,1012,1002,922,589,586,824,532,493,453,451
Bourbon,KY,38.217075,-84.22788,250,257,220,173,180,151,171,145,106,105,113,76,109,77,331,239,405,509,204,154,217,2220,2884,2690,3467,3215,2735,1883,1817,1803,1655,1949,1826,2378,2306,1272,849,580,745,829,1362,1171,2739,3428,3218,3925,3759,3197,2377,2293,2290,2115,2392,2248,2738,2599,1955,1510,1149,1224,1373,1608,1209,7,14,33,7,9,19,13,5,6,7,3,7,10,7,6,5,5,8,3,2,3,3,5,1,4,3,6,6,1,6,4,4,7,2,6,7,2,6,9,3,5,12,8,1,2,4,4,4,7,1,1,,,,,1,,,,1,,4,4,47,29,15,22,19,15,11,8,4,4,,,,1,,,,2,1,5,,30,49,52,60,75,69,64,78,87,60,62,59,38,44,28,26,21,19,21,16,22,166,184,206,215,255,201,203,211,246,225,207,179,130,116,110,86,114,129,91,97,137,,1,3,1,2,1,1,20,31,12,18,24,12,23,27,37,56,60,95,70,41,47,12,5,6,8,6,4,2751,3454,3231,3970,3785,3212,2381,2293,2296,2116,2398,2249,2744,2600,1803,1220,1139,1429,1162,1652,1571
Boyd,KY,38.383327,-82.691543,1,,1,0,0,3,0,2,0,2,0,0,0,0,0,2,0,0,0,2,0,29,23,87,44,37,0,0,1,0,7,0,0,0,0,866,2266,1414,1473,2,5,1,133,113,219,170,156,112,121,121,51,68,23,29,4,2,37,68,73,99,36,23,8,2,5,,3,1,1,,,,,,,,,,,,,,,,,,1,2,,,,,,2,,,,,,2,,,,3,,11,11,7,4,10,5,2,4,3,2,1,1,,1,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,12,11,20,12,12,14,10,12,11,6,4,3,,,,,6,8,1,3,2,67,49,81,84,80,85,106,97,32,43,18,22,4,,,,18,40,33,10,4,,,,,,,,11,15,22,20,16,4,3,5,5,6,,3,,1,5,,,1,,,,133,114,219,170,156,112,121,121,51,68,23,29,4,2,872,2270,1438,1522,36,23,7
